season,season_label,date,location,outcome,point_margin,opponent,opp_conference,started,minutes,fg,fga,fg_pct,fg3,fg3a,ft,fta,rebounds,assists,steals,blocks,turnovers,points,game_score,double_double,triple_double,age
14,2009-10,2009-11-22,Home,W,16,OKC,Western,1,32.16,11,23,0.478,0,2,4,4,6,7,2,0,0,26,23.4,0,0,31
14,2009-10,2009-11-24,Home,W,10,NYK,Eastern,1,40.4,14,20,0.7,1,4,5,7,5,4,3,0,4,34,28.1,0,0,31
14,2009-10,2009-11-28,Away,W,33,GSW,Western,1,32.21,8,20,0.4,1,3,3,3,6,6,5,0,2,20,17.8,0,0,31
14,2009-10,2009-11-29,Home,W,19,NJN,Eastern,1,28.4,11,17,0.647,5,8,3,5,8,7,2,1,4,30,25.7,0,0,31
14,2009-10,2009-12-01,Home,W,11,NOH,Western,1,32.31,5,11,0.455,2,5,6,6,3,4,2,0,1,18,15.8,0,0,31
14,2009-10,2009-12-04,Home,W,1,MIA,Eastern,1,42.18,12,25,0.48,2,3,7,8,7,3,3,0,2,33,24.3,0,0,31
14,2009-10,2009-12-06,Home,W,20,PHO,Western,1,35.54,9,16,0.563,2,4,6,8,7,3,1,0,1,26,21.8,0,0,31
14,2009-10,2009-12-09,Home,W,24,UTA,Western,1,37.49,10,19,0.526,1,3,6,8,6,8,2,2,2,27,24.9,0,0,31
14,2009-10,2009-12-11,Home,W,12,MIN,Western,1,34.0,8,18,0.444,1,3,3,4,5,5,1,0,4,20,11.4,0,0,31
14,2009-10,2009-12-12,Away,L,-8,UTA,Western,1,36.43,7,24,0.292,1,9,1,1,6,5,1,0,1,16,6.9,0,0,31
14,2009-10,2009-12-15,Away,W,9,CHI,Eastern,1,39.06,15,26,0.577,1,5,11,15,2,3,3,0,8,42,25.1,0,0,31
14,2009-10,2009-12-16,Away,W,1,MIL,Eastern,1,49.59,13,28,0.464,1,3,12,12,7,4,0,0,7,39,20.9,0,0,31
14,2009-10,2009-12-19,Away,W,19,NJN,Eastern,1,35.02,12,23,0.522,1,5,4,6,10,5,2,1,2,29,23.7,1,0,31
14,2009-10,2009-12-20,Away,W,12,DET,Eastern,1,38.54,11,23,0.478,1,4,5,8,3,4,5,0,2,28,21.4,0,0,31
14,2009-10,2009-12-22,Home,W,3,OKC,Western,1,43.46,14,26,0.538,0,3,12,14,8,6,2,0,5,40,28.6,0,0,31
14,2009-10,2009-12-25,Home,L,-15,CLE,Eastern,1,45.08,11,33,0.333,1,3,12,12,10,8,1,1,4,35,22.6,1,0,31
14,2009-10,2009-12-26,Away,W,9,SAC,Western,1,50.59,16,30,0.533,4,8,2,2,7,4,4,0,5,38,26.1,0,0,31
14,2009-10,2009-12-28,Away,L,-15,PHO,Western,1,36.1,14,26,0.538,1,5,5,6,7,2,0,0,1,34,23.5,0,0,31
14,2009-10,2009-12-29,Home,W,6,GSW,Western,1,42.52,13,27,0.481,2,6,16,16,4,11,1,0,1,44,38.8,1,0,31
14,2009-10,2010-01-01,Home,W,1,SAC,Western,1,47.15,13,27,0.481,5,7,8,11,5,5,1,0,3,39,25.9,0,0,31
14,2009-10,2010-01-03,Home,W,35,DAL,Western,1,32.04,6,12,0.5,1,4,2,2,3,8,0,1,4,15,11.4,0,0,31
14,2009-10,2010-01-05,Home,W,9,HOU,Western,1,42.55,9,23,0.391,1,1,3,4,3,3,1,1,4,22,8.2,0,0,31
14,2009-10,2010-01-06,Away,L,-11,LAC,Western,1,40.21,10,30,0.333,2,7,11,15,3,8,3,0,2,33,22.3,0,0,31
14,2009-10,2010-01-08,Away,L,-9,POR,Western,1,40.33,14,37,0.378,2,8,2,4,7,7,0,1,5,32,13.2,0,0,31
14,2009-10,2010-01-10,Home,W,18,MIL,Eastern,1,28.3,4,21,0.19,0,3,4,6,5,1,2,0,1,12,0.5,0,0,31
14,2009-10,2010-01-12,Away,L,-20,SAS,Western,1,32.18,7,10,0.7,1,1,1,1,1,3,0,0,3,16,11.2,0,0,31
14,2009-10,2010-01-13,Away,W,5,DAL,Western,1,35.0,5,11,0.455,0,2,0,0,2,1,1,0,0,10,5.8,0,0,31
14,2009-10,2010-01-15,Home,W,40,LAC,Western,1,37.11,10,20,0.5,4,7,6,8,2,3,1,0,1,30,21.1,0,0,31
14,2009-10,2010-01-18,Home,W,6,ORL,Eastern,1,44.24,4,19,0.211,0,3,3,4,5,7,0,0,2,11,2.5,0,0,31
14,2009-10,2010-01-21,Away,L,-6,CLE,Eastern,1,39.57,12,31,0.387,2,6,5,8,2,4,0,0,3,31,12.9,0,0,31
14,2009-10,2010-01-22,Away,W,10,NYK,Eastern,1,42.06,8,24,0.333,3,9,8,8,5,6,1,0,3,27,15.5,0,0,31
14,2009-10,2010-01-24,Away,L,-1,TOR,Eastern,1,40.04,11,24,0.458,1,6,4,4,16,9,1,1,4,27,24.2,1,0,31
14,2009-10,2010-01-26,Away,W,12,WAS,Eastern,1,37.16,8,15,0.533,2,7,8,9,4,8,1,0,6,26,19.3,0,0,31
14,2009-10,2010-01-27,Away,W,22,IND,Eastern,1,34.57,10,15,0.667,3,4,6,8,9,7,1,1,1,29,30.4,0,0,31
14,2009-10,2010-01-29,Away,W,8,PHI,Eastern,1,39.5,10,22,0.455,0,4,4,6,4,3,4,2,3,24,16.7,0,0,31
14,2009-10,2010-01-31,Away,W,1,BOS,Eastern,1,44.58,8,20,0.4,1,3,2,4,3,6,0,0,4,19,8.1,0,0,31
14,2009-10,2010-02-01,Away,L,-2,MEM,Western,1,40.1,16,28,0.571,4,7,8,13,3,3,0,0,3,44,28.4,0,0,31
14,2009-10,2010-02-03,Home,W,2,CHA,Eastern,1,36.51,2,12,0.167,1,5,0,2,2,6,2,0,0,5,1.8,0,0,31
14,2009-10,2010-02-05,Home,L,-13,DEN,Western,1,39.16,11,22,0.5,4,8,7,8,9,0,1,0,5,33,18.7,0,0,31
14,2009-10,2010-02-23,Away,W,1,MEM,Western,1,40.01,13,19,0.684,3,4,3,3,7,6,3,2,2,32,31.8,0,0,31
14,2009-10,2010-02-24,Away,L,-5,DAL,Western,1,39.42,9,23,0.391,0,3,2,2,5,2,2,0,2,20,9.2,0,0,31
14,2009-10,2010-02-26,Home,W,9,PHI,Eastern,1,42.14,7,16,0.438,0,1,5,6,4,8,2,0,3,19,15.6,0,0,31
14,2009-10,2010-02-28,Home,W,6,DEN,Western,1,42.58,3,17,0.176,0,2,8,8,5,12,3,2,5,14,12.6,1,0,31
14,2009-10,2010-03-02,Home,W,23,IND,Eastern,1,30.27,5,14,0.357,0,4,14,15,4,6,2,0,3,24,19.8,0,0,31
14,2009-10,2010-03-04,Away,L,-3,MIA,Eastern,1,45.46,15,28,0.536,2,7,7,10,2,4,1,1,2,39,26.1,0,0,31
14,2009-10,2010-03-05,Away,L,-15,CHA,Eastern,1,41.55,9,21,0.429,0,4,8,9,5,2,0,0,3,26,13.6,0,0,31
14,2009-10,2010-03-07,Away,L,-2,ORL,Eastern,1,40.17,12,30,0.4,2,5,8,8,7,7,3,0,1,34,26.4,0,0,31
14,2009-10,2010-03-09,Home,W,2,TOR,Eastern,1,37.2,11,20,0.55,0,1,10,11,6,6,1,0,4,32,23.8,0,0,31
14,2009-10,2010-03-12,Away,W,6,PHO,Western,1,42.2,7,16,0.438,1,5,6,9,10,8,1,0,7,21,13.6,1,0,31
14,2009-10,2010-03-15,Away,W,3,GSW,Western,1,39.54,9,18,0.5,2,4,9,11,3,4,2,0,9,29,15.5,0,0,31
14,2009-10,2010-03-16,Away,W,7,SAC,Western,1,41.18,10,26,0.385,2,5,8,14,9,7,0,0,3,30,18.4,0,0,31
14,2009-10,2010-03-19,Home,W,8,MIN,Western,1,33.53,4,11,0.364,1,5,13,14,4,13,4,0,5,22,23.6,1,0,31
14,2009-10,2010-03-21,Home,W,7,WAS,Eastern,1,39.47,10,17,0.588,4,7,0,0,3,4,0,0,3,24,16.0,0,0,31
14,2009-10,2010-03-24,Away,W,9,SAS,Western,1,42.07,11,16,0.688,2,2,0,0,4,6,0,0,3,24,19.6,0,0,31
14,2009-10,2010-03-26,Away,L,-16,OKC,Western,1,30.01,4,11,0.364,0,2,3,3,6,3,1,0,9,11,-0.4,0,0,31
